state,c_score,t_score
AK,-58.825235285512,58.825235285512
AL,-102.77846052823632,102.77846052823632
AR,-102.10463931585518,102.10463931585517
AZ,-13.139488356696964,13.139488356696948
CA,116.21945376551325,-116.21945376551331
CO,18.66364159970438,-18.663641599704306
CT,49.96620488038147,-49.96620488038149
DC,538.774378538087,-538.7743785380874
DE,41.88442109448823,-41.88442109448823
FL,-4.300328884491136,4.300328884491125
GA,-18.50921166193236,18.50921166193228
HI,126.50384711041816,-126.50384711041819
IA,-35.30616381764148,35.30616381764148
ID,-133.4262362996739,133.42623629967395
IL,63.3712695512443,-63.371269551244396
IN,-71.28603520957333,71.2860352095734
KS,-78.52048393062215,78.52048393062213
KY,-112.68213209001743,112.68213209001733
LA,-71.68003974124309,71.68003974124301
MA,104.88136418258163,-104.88136418258162
MD,100.07352132844674,-100.07352132844679
ME,11.099415664545536,-11.099415664545548
MI,-0.8176440266100062,0.8176440266100764
MN,5.780867425952981,-5.780867425952921
MO,-69.12419017314825,69.12419017314829
MS,-63.87270702943399,63.87270702943402
MT,-78.50728252189825,78.50728252189826
NC,-13.234978813897749,13.234978813897698
ND,-145.61556954625289,145.61556954625286
NE,-96.54976618744529,96.54976618744526
NH,1.3691009313965425,-1.369100931396441
NJ,50.97845318879828,-50.9784531887982
NM,32.410721925494556,-32.41072192549456
NV,8.99162070589162,-8.991620705891625
NY,83.36711259400217,-83.36711259400208
OH,-29.727240734873906,29.72724073487383
OK,-141.476626337202,141.47662633720194
OR,42.99326216550265,-42.993262165502685
PA,-2.6095391327188238,2.60953913271882
RI,58.28949004977276,-58.28949004977276
SC,-52.22907636987761,52.229076369877625
SD,-115.00819223906852,115.00819223906849
TN,-97.1249862009987,97.1249862009987
TX,-32.84837205892282,32.84837205892272
UT,-87.87771220128506,87.87771220128506
VA,19.66063274948647,-19.66063274948647
VT,108.9634263771725,-108.9634263771725
WA,61.69833424891881,-61.69833424891886
WI,-2.83506112877792,2.835061128777962
WV,-165.4600166349282,165.4600166349282
WY,-197.44608307304986,197.44608307304986
